Tanggal|KODE EFEK|Nama Saham|HC MKBD|Keterangan
20260331|AALI|ASTRA AGRO LESTARI Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ABBA|MAHAKA MEDIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ABDA|ASURANSI BINA DANA ARTA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ABMM|ABM INVESTAMA Tbk|35|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ACES|ASPIRASI HIDUP INDONESIA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ACST|ACSET INDONUSA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ADES|AKASHA WIRA INTERNATIONAL Tbk|40|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ADHI|ADHI KARYA (PERSERO) Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ADMF|ADIRA DINAMIKA MULTI FINANCE Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ADMG|POLYCHEM INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ADRO|ALAMTRI RESOURCES INDONESIA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AGAR|ASIA SEJAHTERA MINA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AGII|SAMATOR INDO GAS Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AGRO|BANK RAYA INDONESIA Tbk|30|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AGRS|BANK IBK INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AHAP|ASURANSI HARTA AMAN PRATAMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AIMS|ARTHA MAHIYA INVESTAMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AISA|FKS FOOD SEJAHTERA Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AKKU|ANUGERAH KAGUM KARYA UTAMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AKPI|ARGHA KARYA PRIMA INDUSTRY Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AKRA|AKR CORPORINDO Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AKSI|MINERAL SUMBERDAYA MANDIRI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ALDO|ALKINDO NARATAMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ALKA|ALAKASA INDUSTRINDO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ALMI|ALUMINDO LIGHT METAL INDUSTRY Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ALTO|TRI BANYAN TIRTA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMAG|ASURANSI MULTI ARTHA GUNA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMAN|MAKMUR BERKAH AMANDA Tbk|40|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMAR|BANK AMAR INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMFG|ASAHIMAS FLAT GLASS Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMIN|ATELIERS MECANIQUES D`INDONESIE Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMOR|ASHMORE ASSET MANAGEMENT INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|AMRT|SUMBER ALFARIA TRIJAYA Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ANDI|ANDIRA AGRO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|ANJT|AUSTINDO NUSANTARA JAYA Tbk|40|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
