#ISINCODE_REKSADANA_20231001
#No.|Short Code|Issuer|Name|ISIN Code|Status
1|MFSDANA|PT MANULIFE ASET MANAJEMEN INDONESIA|MANULIFE DANA SAHAM|IDN000013805|A
2|SIMAS01|PT SINARMAS ASSET MANAGEMENT|SIMAS DANAMAS SAHAM|IDN000021501|A
3|BATAVIA1|PT BATAVIA PROSPERINDO ASET MANAJEMEN|BATAVIA DANA SAHAM OPTIMAL|IDN000034208|A
4|PNMEKUI|PT PNM INVESTMENT MANAGEMENT|PNM EKUITAS SYARIAH|IDN000041203|A
5|TRIM001|PT TRIMEGAH ASSET MANAGEMENT|TRIM KAPITAL|IDN000052804|A
#ISINCODE_SAHAM_20231001
#No.|Short Code|Issuer|Name|ISIN Code|Status
1|AALI|PT ASTRA AGRO LESTARI TBK|ASTRA AGRO LESTARI TBK|ID1000095807|A
2|BBCA|PT BANK CENTRAL ASIA TBK|BANK CENTRAL ASIA TBK|ID1000119508|A
3|TLKM|PT TELEKOMUNIKASI INDONESIA TBK|TELEKOMUNIKASI INDONESIA TBK|ID1000057109|A
4|ASII|PT ASTRA INTERNATIONAL TBK|ASTRA INTERNATIONAL TBK|ID1000016505|A
5|BMRI|PT BANK MANDIRI TBK|BANK MANDIRI TBK|ID1000103404|A
